datasource,week,vx_manufacturer,dose,birth_cohort,N
TEST,20191230,Pfizer,1,1960-1969,0
TEST,20191230,Pfizer,1,1980-1989,0
TEST,20191230,Pfizer,1,1970-1979,0
TEST,20191230,Pfizer,1,1990+,0
TEST,20191230,Pfizer,1,1950-1959,0
TEST,20191230,Pfizer,1,<1940,0
TEST,20191230,Pfizer,1,1940-1949,0
TEST,20191230,Pfizer,1,all_birth_cohorts,0
TEST,20191230,Pfizer,2,1960-1969,0
TEST,20191230,Pfizer,2,1980-1989,0
TEST,20191230,Pfizer,2,1970-1979,0
TEST,20191230,Pfizer,2,1990+,0
TEST,20191230,Pfizer,2,1950-1959,0
TEST,20191230,Pfizer,2,<1940,0
TEST,20191230,Pfizer,2,1940-1949,0
TEST,20191230,Pfizer,2,all_birth_cohorts,0
TEST,20191230,AstraZeneca,1,1960-1969,0
TEST,20191230,AstraZeneca,1,1980-1989,0
TEST,20191230,AstraZeneca,1,1970-1979,0
TEST,20191230,AstraZeneca,1,1990+,0
TEST,20191230,AstraZeneca,1,1950-1959,0
TEST,20191230,AstraZeneca,1,<1940,0
TEST,20191230,AstraZeneca,1,1940-1949,0
TEST,20191230,AstraZeneca,1,all_birth_cohorts,0
TEST,20191230,AstraZeneca,2,1960-1969,0
TEST,20191230,AstraZeneca,2,1980-1989,0
TEST,20191230,AstraZeneca,2,1970-1979,0
TEST,20191230,AstraZeneca,2,1990+,0
TEST,20191230,AstraZeneca,2,1950-1959,0
TEST,20191230,AstraZeneca,2,<1940,0
TEST,20191230,AstraZeneca,2,1940-1949,0
TEST,20191230,AstraZeneca,2,all_birth_cohorts,0
TEST,20191230,Moderna,1,1960-1969,0
TEST,20191230,Moderna,1,1980-1989,0
TEST,20191230,Moderna,1,1970-1979,0
TEST,20191230,Moderna,1,1990+,0
TEST,20191230,Moderna,1,1950-1959,0
TEST,20191230,Moderna,1,<1940,0
TEST,20191230,Moderna,1,1940-1949,0
TEST,20191230,Moderna,1,all_birth_cohorts,0
TEST,20191230,Moderna,2,1960-1969,0
TEST,20191230,Moderna,2,1980-1989,0
TEST,20191230,Moderna,2,1970-1979,0
TEST,20191230,Moderna,2,1990+,0
TEST,20191230,Moderna,2,1950-1959,0
TEST,20191230,Moderna,2,<1940,0
TEST,20191230,Moderna,2,1940-1949,0
TEST,20191230,Moderna,2,all_birth_cohorts,0
TEST,20191230,J&J,1,1960-1969,0
TEST,20191230,J&J,1,1980-1989,0
TEST,20191230,J&J,1,1970-1979,0
TEST,20191230,J&J,1,1990+,0
TEST,20191230,J&J,1,1950-1959,0
TEST,20191230,J&J,1,<1940,0
TEST,20191230,J&J,1,1940-1949,0
TEST,20191230,J&J,1,all_birth_cohorts,0
TEST,20191230,J&J,2,1960-1969,0
TEST,20191230,J&J,2,1980-1989,0
TEST,20191230,J&J,2,1970-1979,0
TEST,20191230,J&J,2,1990+,0
TEST,20191230,J&J,2,1950-1959,0
